"gene_id","log2_fold_change","adjusted_p_value","base_mean","standard_error","statistic","p_value","deg_status","direction"
"FA_G001",3.35,1.05e-06,103.7,0.22,15.2273,5.25e-07,TRUE,"Up"
"FA_G002",3.5,1.1e-06,107.4,0.22,15.9091,5.5e-07,TRUE,"Up"
"FA_G003",3.2,1.15e-06,111.1,0.22,14.5455,5.75e-07,TRUE,"Up"
"FA_G004",3.35,1.2e-06,114.8,0.22,15.2273,6e-07,TRUE,"Up"
"FA_G005",3.5,1.25e-06,118.5,0.22,15.9091,6.25e-07,TRUE,"Up"
"FA_G006",3.2,1.3e-06,122.2,0.22,14.5455,6.5e-07,TRUE,"Up"
"FA_G007",3.35,1.35e-06,125.9,0.22,15.2273,6.75e-07,TRUE,"Up"
"FA_G008",3.5,1.4e-06,129.6,0.22,15.9091,7e-07,TRUE,"Up"
"FA_G009",3.2,1.45e-06,133.3,0.22,14.5455,7.25e-07,TRUE,"Up"
"FA_G010",3.35,1.5e-06,137,0.22,15.2273,7.5e-07,TRUE,"Up"
"FA_G011",-3.36,2.73333333333333e-06,140.7,0.22,-15.2727,1.36666666666667e-06,TRUE,"Down"
"FA_G012",-3,2.8e-06,144.4,0.22,-13.6364,1.4e-06,TRUE,"Down"
"FA_G013",-3.12,2.86666666666667e-06,148.1,0.22,-14.1818,1.43333333333333e-06,TRUE,"Down"
"FA_G014",-3.24,2.93333333333333e-06,151.8,0.22,-14.7273,1.46666666666667e-06,TRUE,"Down"
"FA_G015",-3.36,3e-06,155.5,0.22,-15.2727,1.5e-06,TRUE,"Down"
"FA_G016",-3,3.06666666666667e-06,159.2,0.22,-13.6364,1.53333333333333e-06,TRUE,"Down"
"FA_G017",-3.12,3.13333333333333e-06,162.9,0.22,-14.1818,1.56666666666667e-06,TRUE,"Down"
"FA_G018",-3.24,3.2e-06,166.6,0.22,-14.7273,1.6e-06,TRUE,"Down"
"FA_G019",-3.36,3.26666666666667e-06,170.3,0.22,-15.2727,1.63333333333333e-06,TRUE,"Down"
"FA_G020",-3,3.33333333333333e-06,174,0.22,-13.6364,1.66666666666667e-06,TRUE,"Down"
"FA_G021",-0.12,0.73,177.7,0.35,-0.3429,0.584,FALSE,"Not significant"
"FA_G022",0.21,0.82,181.4,0.35,0.6,0.656,FALSE,"Not significant"
"FA_G023",-0.18,0.55,185.1,0.35,-0.5143,0.44,FALSE,"Not significant"
"FA_G024",0.05,0.91,188.8,0.35,0.1429,0.728,FALSE,"Not significant"
"FA_G025",0.08,0.61,192.5,0.35,0.2286,0.488,FALSE,"Not significant"
"FA_G026",-0.12,0.73,196.2,0.35,-0.3429,0.584,FALSE,"Not significant"
"FA_G027",0.21,0.82,199.9,0.35,0.6,0.656,FALSE,"Not significant"
"FA_G028",-0.18,0.55,203.6,0.35,-0.5143,0.44,FALSE,"Not significant"
"FA_G029",0.05,0.91,207.3,0.35,0.1429,0.728,FALSE,"Not significant"
"FA_G030",0.08,0.61,211,0.35,0.2286,0.488,FALSE,"Not significant"
"FA_G031",-0.12,0.73,214.7,0.35,-0.3429,0.584,FALSE,"Not significant"
"FA_G032",0.21,0.82,218.4,0.35,0.6,0.656,FALSE,"Not significant"
"FA_G033",-0.18,0.55,222.1,0.35,-0.5143,0.44,FALSE,"Not significant"
"FA_G034",0.05,0.91,225.8,0.35,0.1429,0.728,FALSE,"Not significant"
"FA_G035",0.08,0.61,229.5,0.35,0.2286,0.488,FALSE,"Not significant"
"FA_G036",-0.12,0.73,233.2,0.35,-0.3429,0.584,FALSE,"Not significant"
"FA_G037",0.21,0.82,236.9,0.35,0.6,0.656,FALSE,"Not significant"
"FA_G038",-0.18,0.55,240.6,0.35,-0.5143,0.44,FALSE,"Not significant"
"FA_G039",0.05,0.91,244.3,0.35,0.1429,0.728,FALSE,"Not significant"
"FA_G040",0.08,0.61,248,0.35,0.2286,0.488,FALSE,"Not significant"
"FA_G041",-0.12,0.73,251.7,0.35,-0.3429,0.584,FALSE,"Not significant"
"FA_G042",0.21,0.82,255.4,0.35,0.6,0.656,FALSE,"Not significant"
"FA_G043",-0.18,0.55,259.1,0.35,-0.5143,0.44,FALSE,"Not significant"
