"gene_id","module","deg_status","direction","log2_fold_change","adjusted_p_value","level3b"
"FA_G001","Plant hormone signal transduction",TRUE,"Up",3.35,1.05e-06,TRUE
"FA_G001","MAPK signaling",TRUE,"Up",3.35,1.05e-06,TRUE
"FA_G001","Information exchange",TRUE,"Up",3.35,1.05e-06,TRUE
"FA_G002","Plant hormone signal transduction",TRUE,"Up",3.5,1.1e-06,TRUE
"FA_G002","MAPK signaling",TRUE,"Up",3.5,1.1e-06,TRUE
"FA_G002","Information exchange",TRUE,"Up",3.5,1.1e-06,TRUE
"FA_G003","Plant hormone signal transduction",TRUE,"Up",3.2,1.15e-06,TRUE
"FA_G003","MAPK signaling",TRUE,"Up",3.2,1.15e-06,TRUE
"FA_G003","Information exchange",TRUE,"Up",3.2,1.15e-06,TRUE
"FA_G004","Plant hormone signal transduction",TRUE,"Up",3.35,1.2e-06,TRUE
"FA_G004","MAPK signaling",TRUE,"Up",3.35,1.2e-06,TRUE
"FA_G004","Information exchange",TRUE,"Up",3.35,1.2e-06,TRUE
"FA_G005","Plant hormone signal transduction",TRUE,"Up",3.5,1.25e-06,FALSE
"FA_G005","MAPK signaling",TRUE,"Up",3.5,1.25e-06,FALSE
"FA_G006","Plant hormone signal transduction",TRUE,"Up",3.2,1.3e-06,FALSE
"FA_G006","MAPK signaling",TRUE,"Up",3.2,1.3e-06,FALSE
"FA_G007","Plant hormone signal transduction",TRUE,"Up",3.35,1.35e-06,FALSE
"FA_G007","Information exchange",TRUE,"Up",3.35,1.35e-06,FALSE
"FA_G008","Plant hormone signal transduction",TRUE,"Up",3.5,1.4e-06,FALSE
"FA_G008","Information exchange",TRUE,"Up",3.5,1.4e-06,FALSE
"FA_G009","MAPK signaling",TRUE,"Up",3.2,1.45e-06,FALSE
"FA_G009","Information exchange",TRUE,"Up",3.2,1.45e-06,FALSE
"FA_G010","MAPK signaling",TRUE,"Up",3.35,1.5e-06,FALSE
"FA_G010","Information exchange",TRUE,"Up",3.35,1.5e-06,FALSE
"FA_G011","Circadian rhythm",TRUE,"Down",-3.36,2.73333333333333e-06,FALSE
"FA_G012","Protein processing in endoplasmic reticulum",TRUE,"Down",-3,2.8e-06,FALSE
"FA_G013","RNA transport",TRUE,"Down",-3.12,2.86666666666667e-06,FALSE
"FA_G014","RNA degradation",TRUE,"Down",-3.24,2.93333333333333e-06,FALSE
"FA_G015","SNARE interactions",TRUE,"Down",-3.36,3e-06,FALSE
"FA_G016","Autophagy",TRUE,"Down",-3,3.06666666666667e-06,FALSE
"FA_G017","Sulfur relay system",TRUE,"Down",-3.12,3.13333333333333e-06,FALSE
"FA_G018","Plant hormone signal transduction",TRUE,"Down",-3.24,3.2e-06,FALSE
"FA_G019","MAPK signaling",TRUE,"Down",-3.36,3.26666666666667e-06,FALSE
"FA_G020","Information exchange",TRUE,"Down",-3,3.33333333333333e-06,FALSE
