gene_id,module
FA_G001,Plant hormone signal transduction
FA_G001,MAPK signaling
FA_G001,Information exchange
FA_G002,Plant hormone signal transduction
FA_G002,MAPK signaling
FA_G002,Information exchange
FA_G003,Plant hormone signal transduction
FA_G003,MAPK signaling
FA_G003,Information exchange
FA_G004,Plant hormone signal transduction
FA_G004,MAPK signaling
FA_G004,Information exchange
FA_G005,Plant hormone signal transduction
FA_G005,MAPK signaling
FA_G006,Plant hormone signal transduction
FA_G006,MAPK signaling
FA_G007,Plant hormone signal transduction
FA_G007,Information exchange
FA_G008,Plant hormone signal transduction
FA_G008,Information exchange
FA_G009,MAPK signaling
FA_G009,Information exchange
FA_G010,MAPK signaling
FA_G010,Information exchange
FA_G011,Circadian rhythm
FA_G012,Protein processing in endoplasmic reticulum
FA_G013,RNA transport
FA_G014,RNA degradation
FA_G015,SNARE interactions
FA_G016,Autophagy
FA_G017,Sulfur relay system
FA_G018,Plant hormone signal transduction
FA_G019,MAPK signaling
FA_G020,Information exchange
FA_G021,Circadian rhythm
FA_G022,Plant hormone signal transduction
FA_G023,MAPK signaling
FA_G024,Information exchange
FA_G025,Protein processing in endoplasmic reticulum
FA_G026,RNA transport
FA_G027,RNA degradation
FA_G028,SNARE interactions
FA_G029,Autophagy
FA_G030,Sulfur relay system
FA_G031,Circadian rhythm
FA_G032,Plant hormone signal transduction
FA_G033,MAPK signaling
FA_G034,Information exchange
FA_G035,Protein processing in endoplasmic reticulum
FA_G036,RNA transport
FA_G037,RNA degradation
FA_G038,SNARE interactions
FA_G039,Autophagy
FA_G040,Sulfur relay system
FA_G041,Circadian rhythm
FA_G042,Plant hormone signal transduction
FA_G043,MAPK signaling
FA_G044,Information exchange
FA_G045,Protein processing in endoplasmic reticulum
FA_G046,RNA transport
FA_G047,RNA degradation
FA_G048,SNARE interactions
FA_G049,Autophagy
FA_G050,Sulfur relay system
FA_G051,Circadian rhythm
FA_G052,Plant hormone signal transduction
FA_G053,MAPK signaling
FA_G054,Information exchange
FA_G055,Protein processing in endoplasmic reticulum
FA_G056,RNA transport
FA_G057,RNA degradation
FA_G058,SNARE interactions
FA_G059,Autophagy
FA_G060,Sulfur relay system
