gene_id,Immature_1,Immature_2,Immature_3,Ripe_1,Ripe_2,Ripe_3
FA_G001,58,62,55,522,539,508
FA_G002,61,65,58,549,566,535
FA_G003,64,68,61,576,593,562
FA_G004,67,71,64,603,620,589
FA_G005,70,74,67,630,647,616
FA_G006,73,77,70,657,674,643
FA_G007,76,80,73,684,701,670
FA_G008,79,83,76,711,728,697
FA_G009,82,86,79,738,755,724
FA_G010,85,89,82,765,782,751
FA_G011,792,811,776,88,93,84
FA_G012,819,838,803,91,96,87
FA_G013,846,865,830,94,99,90
FA_G014,873,892,857,97,102,93
FA_G015,900,919,884,100,105,96
FA_G016,927,946,911,103,108,99
FA_G017,954,973,938,106,111,102
FA_G018,981,1000,965,109,114,105
FA_G019,1008,1027,992,112,117,108
FA_G020,1035,1054,1019,115,120,111
FA_G021,118,121,116,119,115,120
FA_G022,121,124,119,122,118,123
FA_G023,124,127,122,125,121,126
FA_G024,127,130,125,128,124,129
FA_G025,130,133,128,131,127,132
FA_G026,133,136,131,134,130,135
FA_G027,136,139,134,137,133,138
FA_G028,139,142,137,140,136,141
FA_G029,142,145,140,143,139,144
FA_G030,145,148,143,146,142,147
FA_G031,148,151,146,149,145,150
FA_G032,151,154,149,152,148,153
FA_G033,154,157,152,155,151,156
FA_G034,157,160,155,158,154,159
FA_G035,160,163,158,161,157,162
FA_G036,163,166,161,164,160,165
FA_G037,166,169,164,167,163,168
FA_G038,169,172,167,170,166,171
FA_G039,172,175,170,173,169,174
FA_G040,175,178,173,176,172,177
FA_G041,178,181,176,179,175,180
FA_G042,181,184,179,182,178,183
FA_G043,184,187,182,185,181,186
FA_G044,187,190,185,188,184,189
FA_G045,190,193,188,191,187,192
FA_G046,193,196,191,194,190,195
FA_G047,196,199,194,197,193,198
FA_G048,199,202,197,200,196,201
FA_G049,202,205,200,203,199,204
FA_G050,205,208,203,206,202,207
FA_G051,208,211,206,209,205,210
FA_G052,211,214,209,212,208,213
FA_G053,214,217,212,215,211,216
FA_G054,217,220,215,218,214,219
FA_G055,220,223,218,221,217,222
FA_G056,223,226,221,224,220,225
FA_G057,226,229,224,227,223,228
FA_G058,229,232,227,230,226,231
FA_G059,232,235,230,233,229,234
FA_G060,235,238,233,236,232,237
