gene_id,base_mean,log2_fold_change,standard_error,statistic,p_value,adjusted_p_value
FA_G001,103.7,3.35,0.22,15.2273,5.25e-07,1.05e-06
FA_G002,107.4,3.5,0.22,15.9091,5.5e-07,1.1e-06
FA_G003,111.1,3.2,0.22,14.5455,5.749999999999999e-07,1.1499999999999998e-06
FA_G004,114.8,3.35,0.22,15.2273,6e-07,1.2e-06
FA_G005,118.5,3.5,0.22,15.9091,6.249999999999999e-07,1.2499999999999999e-06
FA_G006,122.2,3.2,0.22,14.5455,6.5e-07,1.3e-06
FA_G007,125.9,3.35,0.22,15.2273,6.75e-07,1.35e-06
FA_G008,129.6,3.5,0.22,15.9091,7e-07,1.4e-06
FA_G009,133.3,3.2,0.22,14.5455,7.249999999999999e-07,1.4499999999999999e-06
FA_G010,137.0,3.35,0.22,15.2273,7.5e-07,1.5e-06
FA_G011,140.7,-3.36,0.22,-15.2727,1.3666666666666666e-06,2.733333333333333e-06
FA_G012,144.4,-3.0,0.22,-13.6364,1.4e-06,2.8e-06
FA_G013,148.1,-3.12,0.22,-14.1818,1.4333333333333333e-06,2.8666666666666666e-06
FA_G014,151.8,-3.24,0.22,-14.7273,1.4666666666666667e-06,2.9333333333333333e-06
FA_G015,155.5,-3.36,0.22,-15.2727,1.5e-06,3e-06
FA_G016,159.2,-3.0,0.22,-13.6364,1.5333333333333332e-06,3.0666666666666664e-06
FA_G017,162.9,-3.12,0.22,-14.1818,1.5666666666666666e-06,3.133333333333333e-06
FA_G018,166.6,-3.24,0.22,-14.7273,1.6e-06,3.2e-06
FA_G019,170.3,-3.36,0.22,-15.2727,1.6333333333333333e-06,3.2666666666666666e-06
FA_G020,174.0,-3.0,0.22,-13.6364,1.6666666666666665e-06,3.333333333333333e-06
FA_G021,177.7,-0.12,0.35,-0.3429,0.584,0.73
FA_G022,181.4,0.21,0.35,0.6,0.656,0.82
FA_G023,185.1,-0.18,0.35,-0.5143,0.44000000000000006,0.55
FA_G024,188.8,0.05,0.35,0.1429,0.7280000000000001,0.91
FA_G025,192.5,0.08,0.35,0.2286,0.488,0.61
FA_G026,196.2,-0.12,0.35,-0.3429,0.584,0.73
FA_G027,199.9,0.21,0.35,0.6,0.656,0.82
FA_G028,203.6,-0.18,0.35,-0.5143,0.44000000000000006,0.55
FA_G029,207.3,0.05,0.35,0.1429,0.7280000000000001,0.91
FA_G030,211.0,0.08,0.35,0.2286,0.488,0.61
FA_G031,214.7,-0.12,0.35,-0.3429,0.584,0.73
FA_G032,218.4,0.21,0.35,0.6,0.656,0.82
FA_G033,222.1,-0.18,0.35,-0.5143,0.44000000000000006,0.55
FA_G034,225.8,0.05,0.35,0.1429,0.7280000000000001,0.91
FA_G035,229.5,0.08,0.35,0.2286,0.488,0.61
FA_G036,233.2,-0.12,0.35,-0.3429,0.584,0.73
FA_G037,236.9,0.21,0.35,0.6,0.656,0.82
FA_G038,240.6,-0.18,0.35,-0.5143,0.44000000000000006,0.55
FA_G039,244.3,0.05,0.35,0.1429,0.7280000000000001,0.91
FA_G040,248.0,0.08,0.35,0.2286,0.488,0.61
FA_G041,251.7,-0.12,0.35,-0.3429,0.584,0.73
FA_G042,255.4,0.21,0.35,0.6,0.656,0.82
FA_G043,259.1,-0.18,0.35,-0.5143,0.44000000000000006,0.55
FA_G044,262.8,0.05,0.35,0.1429,0.7280000000000001,0.91
FA_G045,266.5,0.08,0.35,0.2286,0.488,0.61
FA_G046,270.2,-0.12,0.35,-0.3429,0.584,0.73
FA_G047,273.9,0.21,0.35,0.6,0.656,0.82
FA_G048,277.6,-0.18,0.35,-0.5143,0.44000000000000006,0.55
FA_G049,281.3,0.05,0.35,0.1429,0.7280000000000001,0.91
FA_G050,285.0,0.08,0.35,0.2286,0.488,0.61
FA_G051,288.7,-0.12,0.35,-0.3429,0.584,0.73
FA_G052,292.4,0.21,0.35,0.6,0.656,0.82
FA_G053,296.1,-0.18,0.35,-0.5143,0.44000000000000006,0.55
FA_G054,299.8,0.05,0.35,0.1429,0.7280000000000001,0.91
FA_G055,303.5,0.08,0.35,0.2286,0.488,0.61
FA_G056,307.2,-0.12,0.35,-0.3429,0.584,0.73
FA_G057,310.9,0.21,0.35,0.6,0.656,0.82
FA_G058,314.6,-0.18,0.35,-0.5143,0.44000000000000006,0.55
FA_G059,318.3,0.05,0.35,0.1429,0.7280000000000001,0.91
FA_G060,322.0,0.08,0.35,0.2286,0.488,0.61
